plesalec,plesalka,drzava,kategorija,idplesalca
Jokin Mozo Del Valle,Nerea Mon,Spain,Adult,Jokin_Mozo_Del_Valle-624659e9-35b7-43c6-ae99-a0fc0033a51f
German Strelkov,Ekaterina Oreshina,Russian Federation,Adult,German_Strelkov-3cbf2506-c1d9-42b1-9d95-9e9100b1fea7
Krzysztof Nowak,Martyna Kijak,Poland,Adult,Krzysztof_Nowak-538021c4-4a01-47c2-b160-9e140128054e
Kirill Volkov,Ekaterina Ermolaeva,Russian Federation,Adult,Kirill_Volkov-aaf0986c-a4d3-4e5b-9814-9e140130a474
Saverio Castagna,Concetta Ferlito,Italy,Adult,Saverio_Castagna-8c4f10f1-aada-4bf9-94a2-9e1401329857
Andrey Cheshkov,Olesia Kudrina,Russian Federation,Adult,Andrey_Cheshkov-7003eef9-990d-4f47-b468-9e14012fb65b
Andrey Prizentsov,Ksenia Vorobieva,Russian Federation,Adult,Andrey_Prizentsov-17a0b7aa-7c90-44d5-9dbf-9e140122b2d5
Sten Tarsalainen,Karoliina Villem,Estonia,Adult,Sten_Tarsalainen-016715f6-4f97-4245-8a8a-a15f00ade998
Valery Tolstokorov,Natalia Semina,Russian Federation,Adult,Valery_Tolstokorov-d79a8250-f320-4ff1-a584-a4710141d8ec
Hyeon You Kim,Sol Ji Hong,South Korea,Adult,Hyeon_You_Kim-0bb52ede-b9e9-4ec1-af87-9e140155084f
Mathieu Marechal,Svetlana Guggenbuehl,Switzerland,Adult,Mathieu_Marechal-f7e36943-8868-429d-abf7-9e140133080e
Gabriele Miglio,Arianna Rossi,Italy,Senior I,Gabriele_Miglio-21085b1f-1647-4bcb-b49d-9e14015eb92a
Alexey Tsarev,Alena Stadnik,Azerbaijan,Adult,Alexey_Tsarev-c6f497ab-bb2a-4011-b4d3-9e14012f1782
Maxim Lozitsky,Victoria Belkina,Russian Federation,Junior II,Maxim_Lozitsky-47dd3795-f1c2-4c9e-9767-a181010bff40
Ivan Kalinin,Victoria Shatokhina,Russian Federation,Adult,Ivan_Kalinin-3ba2163f-c0cc-426b-a9cf-a08b0044116c
Stephen Gonzales,Natalya Franklin,United States,Senior II,Stephen_Gonzales-e53b2d0a-3c2f-454f-95fa-a47201158c95
Stefan Spirig,Lisa-Kristina Bachmann,Switzerland,Adult,Stefan_Spirig-2e4c36cd-97e1-470c-9396-a473009faa27
William Berger,Fabien Charlott Lax,Germany,Junior II,William_Berger-706192f4-35e4-497e-8b07-a47300e0211c
Robin Brenner,Vanessa Gergert,Germany,Junior I,Robin_Brenner-8b50d603-8acf-42b4-ac7f-a47300e1af0f
Michael Enz,Karin Schreiner,Germany,Senior II,Michael_Enz-067419d6-99e6-400d-8b73-a47300e256d8
Vladislav Alisov,Liubov Dudareva,Russian Federation,Youth,Vladislav_Alisov-b149d55f-f2a4-435a-a504-a473012d2d6d
Egor Shmidt,Daria Vavaeva,Russian Federation,Adult,Egor_Shmidt-167654cb-bb0d-484b-998f-a4120016522d
Filippo Guerrera,Antonella Talluri,Italy,Senior III,Filippo_Guerrera-35822c07-8d6b-4db2-8ee7-a3d800e26dcb
Yuri Timofeev,Olga Bakirova,Russian Federation,Senior III,Yuri_Timofeev-106730f8-8454-42f8-bcc9-a3d30184eb9d
Waldemar Swider,Janina Swider,Germany,Senior III,Waldemar_Swider-9cda393b-54d3-4407-a505-a47400b86edf
Roland Froelich,Siglinde Froelich,Germany,Senior II,Roland_Froelich-4c577466-1b56-4dad-98a7-a47400b91cdb
Carmelo Cerruto,Cettina Ficili,Italy,Adult,Carmelo_Cerruto-b3d11613-0c43-424f-87f7-a47400d14871
Mirko Spano,Pamela Romano,Italy,Adult,Mirko_Spano-23c1ab43-a451-41e1-b11e-a47400d15c0a
Antonio De Marzo,Sara Notaro,Italy,Adult,Antonio_De_Marzo-3b18ac69-d080-4289-9100-a47400d17375
Yuri Pulcini,Benedetta Castaldi,Italy,Youth,Yuri_Pulcini-5a3f2136-c2ab-4eb6-b67d-a47400d198ce
Maxim Barsegian,Ksenia Pankova,Russian Federation,Juvenile II,Maxim_Barsegian-7ebc173e-9406-4ef7-be27-a4740017f103
Nikita Gorbachev,Anastasia Diakova,Russian Federation,Junior II,Nikita_Gorbachev-dfc6ddc9-65b7-4511-8534-a474001b2bb7
Andrejs Skorinkins,Beate Ragovska,Latvia,Youth,Andrejs_Skorinkins-67acd7ea-b797-423c-b681-a10300d8fb2d
Rihards Enins,Marija Ance Reca,Latvia,Junior II,Rihards_Enins-96fe5360-e053-4cba-a3f7-a10300d893ff
Agusti Ferre Moya,Irene Marti,Spain,Adult,Agusti_Ferre_Moya-14a477d2-f93c-4930-b2b1-a15a00c3ef13
Sergey Ivanov,Evgenia Zyrianova,Russian Federation,Adult,Sergey_Ivanov-83a37b94-cd94-488d-9f65-a23700a79201
Grigory Tereshchenko,Alina Melkozerova,Russian Federation,Youth,Grigory_Tereshchenko-240d2755-e83d-4718-9edf-a181010c1b67
Matteo Michalette,Anita Delrio,Italy,Adult,Matteo_Michalette-8eb38e58-5f40-4c32-baeb-9e14015eb829
Eetu Lamsa,Emilia Prykari,Finland,Junior II,Eetu_Lamsa-a2f54d13-2c46-4fa6-814e-9eb500971d8a
Ryan Ivan Raffloer,Hanna Sverdlov,United States,Adult,Ryan_Ivan_Raffloer-9d5fd39c-4b18-4eb1-bb56-9e14015d5f85
Sevastjans Sergejevs,Everita Klavina,Latvia,Junior II,Sevastjans_Sergejevs-33f9097a-0626-4bfd-bee1-a25f00a0fa0c
Nikita Brikuns,Elizabete Brikune,Latvia,Junior II,Nikita_Brikuns-95dc245f-22b4-491e-8822-a28a00bc3eb5
Angelo Patricola,Roberta Di Salvo,Italy,Youth,Angelo_Patricola-734cff93-7954-4c27-9bc0-a47500a3c88b
Roberts Urtans,Anete Medniece,Latvia,Junior I,Roberts_Urtans-3171351c-06c4-4d2a-8c4e-a4660098a99d
Arturs Kotovs,Erika Elizabete Latnikova,Latvia,Junior I,Arturs_Kotovs-d8171b56-284d-4155-accb-a3e8009cd315
Lauris Limbergs,Una Laura Silina,Latvia,Junior II,Lauris_Limbergs-b0980dad-46c6-4a26-b3a6-a31500b83d36
Arsenijs Vorona,Katerina Zegalina,Latvia,Junior I,Arsenijs_Vorona-863c3a3c-a270-4718-93b5-a31500b8557d
Kristers Smits,Katrina Atholde,Latvia,Junior I,Kristers_Smits-dc63c2b3-99d2-40fb-a60c-a2e300dbd621
Kacper Pawlowski,Katarzyna Hanc,Poland,Adult,Kacper_Pawlowski-f93e0aaa-17ff-47f6-bb5a-a4570124e25f
Gustas Kirkliauskas,Zymante Bernataviciute,Lithuania,Junior II,Gustas_Kirkliauskas-769b207b-ce72-4322-b9d8-a46b00d35c00
Kio Fong Wat,Hoi In Wong,Macau,Adult,Kio_Fong_Wat-13d44d4f-5b82-4f68-9f8b-a47600925fa7
Roberto Auriemma,Gigliola Pisano,Italy,Senior II,Roberto_Auriemma-5b3c942d-f855-475e-992e-a47600b3b768
Francis Klauth,Sylvie Klauth,Germany,Senior IV,Francis_Klauth-bb829862-df9b-4eb7-8ed3-a47600b80462
Dieter Weiss,Branka Weiss,Germany,Senior III,Dieter_Weiss-2d094a77-2cd8-45d5-90df-a47600b92b85
Fabrizio Solarino,Francesca Impellizzeri,Italy,Adult,Fabrizio_Solarino-c95baa69-d74b-4f78-b5d9-a47600c4c0ec
Matteo Mariano,Erika Careri,Italy,Adult,Matteo_Mariano-33034388-b9e5-4184-90d9-a47600de369d
Miha Ksela,Brina Drobez,Slovenia,Junior II,Miha_Ksela-4510e927-a58d-4e82-b401-a0d8004382b2
Pavel Rozinkov,Maria Kruglova,Russian Federation,Adult,Pavel_Rozinkov-8d6771ae-ebcc-4180-97a2-9e46005349a1
Alexey Kondiukov,Elizaveta Shatalova,Russian Federation,Adult,Alexey_Kondiukov-c7bd4bbf-f894-4ec5-a7ea-9e14012f1d7d
Armen Kurginyan,Rusudan Omiadze,Georgia,Adult,Armen_Kurginyan-45ea3577-95d2-4bf5-9c45-9e1401321d11
Zdenek Lukas,Anna Ondruchova,Czech Republic,Adult,Zdenek_Lukas-1bd497f9-13fa-445d-8167-a2610084d188
Robert Finster,Herta Finster,Austria,Senior III,Robert_Finster-1004a14b-7036-4256-9a35-a4770000fadc
Ulf Thalhammer,Anja Kurka,Austria,Senior I,Ulf_Thalhammer-2f7494fd-fa41-410d-98b1-a477000291ba
Armands Goldbergs,Keita Milberga,Latvia,Juvenile I,Armands_Goldbergs-65a7a3a1-d616-4cf4-ac30-a47900a86423
Endijs Milbergs,Anastasija Lebedeva,Latvia,Junior I,Endijs_Milbergs-d932e65b-f3eb-42b5-8150-a47900a87318
Ilja Beluss,Ksenija Aboltina,Latvia,Junior II,Ilja_Beluss-a0504c5d-1dae-4448-ac0c-a47900d44967
Kwuang Cheng Chong,Zui Chia Chong,Japan,Junior II,Kwuang_Cheng_Chong-c4373ae8-8333-4f73-8b1d-a474008bb898
Aleksandrs Timofejevs,Marika Petrovska,Latvia,Adult,Aleksandrs_Timofejevs-df33287e-8bd4-4790-a7d5-a45900c6694d
Nikita Kharitonov,Ksenia Nosova,Russian Federation,Youth,Nikita_Kharitonov-512358a6-0ade-44e2-890c-a3c701788ffd
Michael Kirevnin,Anastasia Yurchina,Russian Federation,Adult,Michael_Kirevnin-b3dfa4e5-c643-46c0-8703-a34c017b56ba
Benjamin Hadorn,Baumann Livia,Switzerland,Adult,Benjamin_Hadorn-beb61d3c-cde4-4f3c-853f-a47a00c651c7
Sherwin Troy Tesaluna,Rowena Tan,Philippines,Senior I,Sherwin_Troy_Tesaluna-d7825101-fea8-403f-a1fe-a47a00cecbcb
Jose Luis Montoro Velasco,Araceli Gutierrez Vega,Spain,Senior III,Jose_Luis_Montoro_Velasco-859ebf8c-86dd-4bd8-be0d-a47a00d0022d
Wiktor Snochowski,Karolina Tygielska,Poland,Youth,Wiktor_Snochowski-ccedd2cd-d048-4838-9aeb-a47a00e90214
Filip Sevcik,Simona Dokusova,Slovakia,Junior II,Filip_Sevcik-6f9bc7de-3185-4fc1-8883-a25301065b3e
Mikhail Vinokurov,Mayia Spirina,Russian Federation,Junior I,Mikhail_Vinokurov-b354c8c7-6830-4525-a471-a1a90146ecc3
Pitt-Alexander Wibawa,Tiara-Sophia Wibawa,Switzerland,Adult,Pitt-Alexander_Wibawa-908ea1d8-ecce-458c-9ce5-a07e0043492f
David Schavel,Sarah Vittoria Sorice,Slovakia,Adult,David_Schavel-810b6a7e-05fd-45df-b76e-9e1401213139
Carmine Albero,Ievgeniia But,Italy,Adult,Carmine_Albero-6b5fd5fd-bd06-41f9-babb-9e14015fbe68
Lennart Sauerland,Julia Mertens,Germany,Adult,Lennart_Sauerland-10c6e9e8-70cb-40b0-b5eb-9efd0044af27
Giovanni Trinco,Alessia Bonino,Italy,Youth,Giovanni_Trinco-a862f17c-0fb7-4383-b3e9-a14900bdb486
Levente Tamas Jovari,Szavanna Szalai,Hungary,Youth,Levente_Tamas_Jovari-996267a2-d80d-4dd0-9f26-a47b012bffb5
Peter Heinrich Fischer,Regina Elisabeth Fischer,Germany,Senior III,Peter_Heinrich_Fischer-cc8a7eda-3538-4df0-9cb2-a47b00cf8ba4
Stephan Boegner,Daniela Weimar,Germany,Adult,Stephan_Boegner-1d467ff9-8691-4b5f-adb8-a47b00d46703
Manuel Magin,Alina Kulesov,Germany,Adult,Manuel_Magin-d0990557-4a11-4532-9414-a37e00aa4136
Davide Fadda,Alessia Cossu,Italy,Adult,Davide_Fadda-92793c53-af94-47ef-849f-a3b200c6f830
Nicola Frassetto,Chiara Cadeddu,Italy,Youth,Nicola_Frassetto-6dbff93c-29f0-4aa5-a3b6-a3b200c701ba
Matteo Nuvoli,Asia Mariana Canu,Italy,Adult,Matteo_Nuvoli-548a2307-5156-4e6e-9f0c-a45300d15e77
Diego Francone,Martina Milani,Italy,Youth,Diego_Francone-1891768d-3106-4e54-9d10-a44900d3291b
Kevin Bussi,Giulia Diotto,Italy,Youth,Kevin_Bussi-e01b86eb-522f-4388-a10d-a44900d35d2b
Manuel Torazza,Erika Zuza,Italy,Youth,Manuel_Torazza-bb9729a3-a8cf-40f1-94f1-a43300ca4017
Antonio Vincis,Valeria Putzu,Italy,Junior II,Antonio_Vincis-5f895477-49b7-458b-997d-a43500fb10f9
Alejandro Yanez,Claudia Oriet Arroyo Jara,Chile,Adult,Alejandro_Yanez-5c86fce5-932b-4c8e-8c52-a3ea00075da0
Tomas Jakubec,Linda Kvasnickova,Czech Republic,Adult,Tomas_Jakubec-75a3e669-ed4f-4271-be93-a30d00dbcb43
Cristiano Savina,Marta Nicola,Italy,Adult,Cristiano_Savina-6c3341f7-8984-4c58-b29b-a2e700e6213f
Luis Ortiz,Geraldine Munoz,Chile,Adult,Luis_Ortiz-430b9b37-98e2-47a4-8e8e-a2ce011ee38d
Daniel Repovs,Pauline Spatz,Germany,Adult,Daniel_Repovs-1f5efbef-2c3b-44b8-aa4f-a47b00d5efef
Andres Cornejo Colipai,Camila Oyarzun Zuniga,Chile,Adult,Andres_Cornejo_Colipai-63623d4d-1df0-40ff-a85f-a47801381dd8
Raimund Wilhelm,Ursula Wilhelm,Germany,Senior III,Raimund_Wilhelm-66e2dd1f-806b-4dde-b50b-a47c00fcc89a
Juergen Hofmann,Brigitte Hofmann,Germany,Senior III,Juergen_Hofmann-fec500a2-e14b-4072-9f9a-a47c00fd654a
Marten Weber,Shirin-Marie Franke,Germany,Youth,Marten_Weber-caf87b8d-6184-4001-9c53-a47c01017ef8
Fabian Ionut Torok,Maria Alexandra Ivan,Romania,Adult,Fabian_Ionut_Torok-4d7621b7-3809-497c-b190-a47c016fd421
Alexandru Dumitru Macarie,Adelina Cristina Ciubotar,Romania,Youth,Alexandru_Dumitru_Macarie-06e1f9f5-de37-4cbd-a68e-a47c017015d5
Mosnegutu Vlad-Alexandru,Suba Georgiana-Anita,Romania,Youth,Mosnegutu_Vlad-Alexandru-d373ed72-111b-4e5e-90fd-a47c01707791
Luis Manuel Garcia Martinez,Alba Martinez Leiro,Spain,Adult,Luis_Manuel_Garcia_Martinez-c2c37de3-0a23-4ece-a1de-a47c00cbe8a6
Tamas Torok,Eva Gyurkovits,Hungary,Adult,Tamas_Torok-5ca477f9-d892-4e54-aac5-a47c018761b6
Simone Maiocchi,Stefania Bettoni,Italy,Adult,Simone_Maiocchi-fe2ccfe6-4730-4cc2-aa23-a47b00a90236
Giuseppe Antonio Maureddu,Ilenia Scano,Italy,Adult,Giuseppe_Antonio_Maureddu-96a401d2-6605-4861-acb7-a47900e6efe0
Luca Simula,Chiara Campus,Italy,Adult,Luca_Simula-2a4ec1fd-cb72-4623-8c6b-a47600dfed5e
Mirko Lanza,Caterina Mori,Italy,Junior II,Mirko_Lanza-54388e14-5289-45f0-ae83-a46d00c982a1
Andrea Miari,Giorgia Veronesi,Italy,Adult,Andrea_Miari-ce91f15b-9168-4ef9-8c47-a46800f8171f
Bartosz Drozdowski,Marlena Nankiewicz,Poland,Adult,Bartosz_Drozdowski-dd96e968-63d3-45ee-bd33-a1e200e90c11
Riccardo Pinna,Francesca Mazzette,Italy,Junior I,Riccardo_Pinna-50c6512d-174b-4ec6-8f03-a15d00f4ac8b
Marco Canu,Sarah Tolu,Italy,Junior II,Marco_Canu-ef6f0206-8475-458a-9076-a12b00bbce87
Robert Baybichev,Elena Burak,Belarus,Adult,Robert_Baybichev-365c4294-7e66-4ada-b658-9f1700435123
Koskocsak Raul,Diana Carina Varga,Romania,Adult,Koskocsak_Raul-0fa04a66-6f1f-4374-9124-a11e004386d3
Tin Long Che,Ka Weng LO,Macau,Youth,Tin_Long_Che-4f66bdc9-cf5f-4804-ae40-a1130043c69a
Semen Kamenev,Maria Margulis,Russian Federation,Youth,Semen_Kamenev-8e66fae1-9b79-4f0a-b5df-a28b00ff421a
Ngok Wai Chan,Keng Pui Lai,Macau,Youth,Ngok_Wai_Chan-7c42efc2-cdf9-4c18-b099-a47d00a41fa1
Aleksandr Vorobyev,Yulia Vorobyeva,Russian Federation,Adult,Aleksandr_Vorobyev-320b4852-3227-46d9-b629-a47d0121ef08
Kirill Grosberg,Victoria Ong,Russian Federation,Youth,Kirill_Grosberg-9b8f02a3-5d66-4554-b374-a32a00fceb95
Ilia Rublev,Ksenia Prialukhina,Russian Federation,Youth,Ilia_Rublev-cb501751-da15-4d7f-98be-a3fc017f22ae
Vasily Igolkin,Valeria Smirnova,Russian Federation,Adult,Vasily_Igolkin-6bae0234-2c41-4044-8982-a37d00b3308d
Bakhtiyar Mukatayev,Sabina Tenbay,Kazakhstan,Adult,Bakhtiyar_Mukatayev-f4b3fbf9-a926-4d1c-818d-a144008301fc
Kirill Novikov,Yana Savenkova,Kazakhstan,Adult,Kirill_Novikov-1de53e55-7cb6-4854-8198-a01b0043a50e
Eric Damian,Cezara Banu,Romania,Adult,Eric_Damian-76d931f3-9453-486b-81b5-9e140122bc3b
Vitaly Zakharov,Julia Kosovskikh,Russian Federation,Youth,Vitaly_Zakharov-de40ddcc-c783-4a38-b037-9f2f0043a531
Nikolay Matskevich,Angelina Kovtun,Russian Federation,Adult,Nikolay_Matskevich-2141480e-f6e9-49ac-aac0-9e1401303bc1
Azat Kosherbayev,Alima Niyazbekova,Kazakhstan,Adult,Azat_Kosherbayev-e44ac9ab-c0a4-4e79-ae1e-a09100436384
Alexey Sytov,Julia Kirianova,Russian Federation,Youth,Alexey_Sytov-418166ed-ddae-4776-b1e6-a277006aacc2
Pierre Ardoin,Anouk Ardoin Ibanez,France,Senior I,Pierre_Ardoin-56dae097-2a39-4c2c-bb9a-a404010309e3
Alin Valentin Ivanescu,Diana Kristof,Romania,Youth,Alin_Valentin_Ivanescu-a4269d19-cc9e-4ed8-a49d-a47f00b28ceb
Andrey Gaponyuk,Anastassiya Lyubchenko,Kazakhstan,Adult,Andrey_Gaponyuk-8833fb77-011c-4b06-b308-a47f01013053
Yuriy Fomenko,Yekaterina Mayboroda,Kazakhstan,Adult,Yuriy_Fomenko-7eed202d-dc87-40b5-93c6-a47f0101ad96
Jun Young Park,SoHYeon Lee,South Korea,Adult,Jun_Young_Park-448b7056-fc82-40bd-a5c0-a4760077f755
Gioele Massimino,Giorgia Bellini,Italy,Youth,Gioele_Massimino-e7b56e1a-dc38-44e9-8cc3-a46800a6f2c5
Blazej Snochowski,Karolina Deluga,Poland,Junior II,Blazej_Snochowski-32ec09d9-7699-4309-a983-a2e4011f0409
Oskar Dziedzic,Wiktoria Omyla,Poland,Adult,Oskar_Dziedzic-361663d6-a2bc-4c56-8749-9ef700e0c997
Joris Sangavicius,Ieva Urbonaite,Lithuania,Adult,Joris_Sangavicius-b04465d5-fdb2-4905-b8d9-9e9100b1f5b2
Hoai Nam Luu,Thu Huong Dang,Vietnam,Adult,Hoai_Nam_Luu-418245fb-b706-436d-8197-a26f007ebf5a
Roman Chechetkin,Polina Andriushchenko,Russian Federation,Adult,Roman_Chechetkin-8e46d406-bbe0-4246-a6f0-a07b0043669e
Dennis Teirlinck,Rozetta Kats,Netherlands,Youth,Dennis_Teirlinck-0a2842d1-58b6-4641-9f0c-a117004395e5
Matteo Vitanza,Aurora Pia Raimondi,Italy,Youth,Matteo_Vitanza-e7f3124f-6b97-41b6-a73b-a48100f1a01b
Maarten van Lijden,Rebeca Dimphina Maria Kannekens,Netherlands,Adult,Maarten_van_Lijden-a8d9a1a0-745c-4cce-a32a-a481015e9452
Guram Mamulia,Tinatin Darakhvelidze,Georgia,Adult,Guram_Mamulia-e62e1456-ce7f-4a91-b967-a4820008ccd0
Nika Amozashvili,Tatia Metreveli,Georgia,Youth,Nika_Amozashvili-f3bb350b-04e6-4548-95ce-a4820013bc12
Guram Kumelashvili,Lana Rukhadze,Georgia,Junior II,Guram_Kumelashvili-e94a71c2-1763-4601-b3d4-a482002f6f74
Sergo Markarovi,Nino Paresishvili,Georgia,Youth,Sergo_Markarovi-d76e67e3-efb1-4161-ad29-a48200412dd8
Alex Arnautov,Elene Tsereteli,Georgia,Junior II,Alex_Arnautov-637f727e-b46a-4d61-8f3f-a482004ba553
Wai Tong Leung,Yuk Wan Ma,Hong Kong,Senior III,Wai_Tong_Leung-f5705d47-e6a3-4bac-82b9-a4820081a5fd
Mareks Ozols,Olesja Bobrova,Latvia,Junior II,Mareks_Ozols-0e897472-b7be-41b4-b640-a48200bc78eb
Alessandro Grilli,Ilaria Segoloni,Italy,Adult,Alessandro_Grilli-f2cfb67b-6a83-4107-bdee-9fab00c3da6f
Sun Kin Cheung,Amanda Yuh-Jiun Chen,Hong Kong,Senior I,Sun_Kin_Cheung-8ce07212-9eb5-40cd-a721-a1f600659789
Paul Steindl,Pia Breidung,Germany,Youth,Paul_Steindl-dd12217d-ae5b-4d50-bcc0-9e5300538af1
Dimitri Khetagurov,Monika Zhorzholiani,Georgia,Adult,Dimitri_Khetagurov-55db92aa-0d6c-461d-a04d-9e14013082a7
Paul Ozolins,Elza Nikola Rauza,Latvia,Youth,Paul_Ozolins-1eeb0cff-b45f-4a64-917d-a1e900a548c0
Dmitry Chelpanov,Ksenia Voronenkova,Russian Federation,Youth,Dmitry_Chelpanov-35f5977b-b86e-42b4-b07e-a28c00dd9565
Shota Suzuki,Maimu Morita,Japan,Adult,Shota_Suzuki-65850bc2-11dc-45bf-b74e-a1a901465260
Vitaly Del,Tatiana Dostovalova,Russian Federation,Junior II,Vitaly_Del-6ff7a19d-4c9f-4d96-9332-a181010c0c57
Peter Vestergaard,Annette Hasselbrinck,Denmark,Senior III,Peter_Vestergaard-a6e26486-3575-4993-9091-a4830080eb3c
Alexey Vetrov,Polina Pushilova,Russian Federation,Junior II,Alexey_Vetrov-3874ba38-fd4c-4c16-bdd0-a483008d01c2
Artem Podorvanov,Olga Georgieva,Russian Federation,Youth,Artem_Podorvanov-bf85b042-effc-4aff-a825-a48300a0b078
Semen Egorov,Margarita Sazonova,Russian Federation,Youth,Semen_Egorov-a1fc5683-145c-467c-a365-a48300aafedf
Vasily Dunaev,Olga Fursenko,Russian Federation,Youth,Vasily_Dunaev-1b50f629-55eb-499e-8ddb-a48300b198b1
Patryk Wozniak,Justyna Polakowska,Poland,Adult,Patryk_Wozniak-a13f3680-3fb2-4c5e-b3d2-a2e70075d3ea
Mateusz Dreling,Katarzyna Kocon,Poland,Adult,Mateusz_Dreling-abf5d319-6725-4894-9d3b-a3da010f1e49
Philipp Hofstetter,Natalie Cremar,Switzerland,Junior II,Philipp_Hofstetter-d98d6b3b-bb43-4386-b73b-a37b012ed794
Artiom Moroz,Yasemin Ersoy,Moldova,Junior II,Artiom_Moroz-48d9aada-f23d-4353-b608-a48301431995
Brian Hsiung,Michelle Hsiung,Chinese Taipei,Junior II,Brian_Hsiung-7c2c055e-cd98-4a71-a67b-a48400e25522
Martin Zinsler,Eva Dvorak,Austria,Senior III,Martin_Zinsler-94157edd-42e4-43a9-9ce5-a0e40004fdfe
I Lok U,Nga Nok Colette LI,Macau,Junior II,I_Lok_U-a037a3bd-c464-4af8-b209-a1130043d788
Maxim Bashkirov,Anastasia Razheva,Russian Federation,Adult,Maxim_Bashkirov-64250d62-fbbf-43a5-8c9f-a11900437cb3
Friedrich Koenigstorfer,Michaela Heininger,Austria,Senior II,Friedrich_Koenigstorfer-0bee0d66-4cf3-4ab1-ba16-a4850042ba40
U Hong Liu,I Kei Sun,Macau,Youth,U_Hong_Liu-994814cb-b072-4ccc-b881-a47d00afe016
Ka Hei Leung,I Tong Kuong,Macau,Youth,Ka_Hei_Leung-47a64875-84f4-4f2e-a59b-a47d00a8e5f5
Gabor Sziklai,Mira Krisztina Stercz,Hungary,Junior II,Gabor_Sziklai-35f8c3f8-9683-436f-9964-a486011c2fa3
Gleb Pavlenko,Kristina Esina,Russian Federation,Adult,Gleb_Pavlenko-a069c04a-f1fa-4133-8c51-a181010c19d5
Jan Georg Stelzig,Berenike Reech,Germany,Junior II,Jan_Georg_Stelzig-d53bbd35-91d7-4e5d-b412-a00300bf0829
Volodymyr Kolchyntsev,Nadiia Andreieva,Ukraine,Juvenile II,Volodymyr_Kolchyntsev-566f2dea-d9b5-485b-86c6-a487015e6013
Maksym Vakulyuk,Yana Kalinska,Ukraine,Junior II,Maksym_Vakulyuk-ac1510c9-b5d3-4093-a1ec-a487016a80be
Boguslav Lavryk,Anastasiya Yurochko,Ukraine,Junior I,Boguslav_Lavryk-d1d61461-8ec6-4957-a965-a48701706929
Vitalijs Shaiko,Jekaterina Demchenko,Latvia,Youth,Vitalijs_Shaiko-557e3b06-c37c-44be-a15d-a46e009e0adc
Karolis Zivulskas,Kotryna Jankunaite,Lithuania,Youth,Karolis_Zivulskas-753796dd-442d-407b-8cdc-a488017f6822
Sang Woo An,Hee Jin Kim,South Korea,Adult,Sang_Woo_An-01ac38c1-9aa7-4f01-be1a-a4880069eab9
Thomas Woelfle,Maria Huber-Woelfle,Germany,Senior II,Thomas_Woelfle-0dd256b5-96bb-4a03-9224-a488009aebc3
Youngjun Cho,Ji Yeon Kim,South Korea,Adult,Youngjun_Cho-0ad2f239-069a-4aa4-965a-a47600928753
Byeong Rae Kim,Jin Sil Choi,South Korea,Adult,Byeong_Rae_Kim-ca56373a-c914-44da-81fe-a484002836bb
Andrey Prusakov,Polina Prusakova,Russian Federation,Junior I,Andrey_Prusakov-c66bb9a3-8214-4465-9477-a4890075e4b9
Daniil Kharin,Stefaniia Bakaeva,Russian Federation,Junior I,Daniil_Kharin-0a91cccd-62b5-4fb1-8eeb-a48900765c36
Dong Hun Lee,Ji Yun Lee,South Korea,Adult,Dong_Hun_Lee-044ffa74-4d42-430b-9996-a476006f6fa4
Jun Kyu Kim,EunJi Jung,South Korea,Youth,Jun_Kyu_Kim-daf45372-eee7-40f7-8108-a476006ff67c
Dong Gyun Kim,Go Eun Bi Choi,South Korea,Adult,Dong_Gyun_Kim-4d27116e-dbe6-4bb6-a6dd-a4760070acdc
Ilya Kudriavtsev,Olga Davydova,Russian Federation,Youth,Ilya_Kudriavtsev-e9985c2e-0c0c-43cd-86aa-a44101246994
Maxim Safonov,Anastasia Grabazey,Russian Federation,Youth,Maxim_Safonov-625dd90d-c7f7-4830-920d-a3000161dc61
Leonid Zobnin,Ekaterina Chubarova,Russian Federation,Youth,Leonid_Zobnin-f9565ca0-ab57-432f-b814-a181010c0278
Jun Her,Yoo Min Kim,South Korea,Adult,Jun_Her-76e0b3c5-54c1-4f01-b15f-a19700b9663b
Dennis Aisenstadt,Liora Yoffe,Israel,Junior II,Dennis_Aisenstadt-b2f35997-9d8a-4e5d-97a4-a19500eadc4c
Alexandru Birca,Laura Makinen,Moldova,Adult,Alexandru_Birca-d979d044-9f14-4e01-837b-9e14012409aa
Vladimir Usov,Milena Usanova,Moldova,Adult,Vladimir_Usov-f62b0228-0f57-4b35-87db-9e1401359047
Herbert Rippe,Petra Reich,Germany,Senior II,Herbert_Rippe-88611ab8-415b-4c81-8260-a40a00bd2a97
Ivo Kreisl-Van,Veronika Vaneckova,Czech Republic,Senior II,Ivo_Kreisl-Van-9905f131-81e9-42c2-9b74-a48700dd1fce
Peter Aubel,Iryna Koval,Netherlands,Senior I,Peter_Aubel-4d1f63be-a500-4506-a4a7-a4890146058e
Jamie Groeneveld,Lesley Groeneveld,Netherlands,Adult,Jamie_Groeneveld-472a46c5-e223-4a8a-985a-a48a015c328a
Kenjiro Tsutsumi,Kaoru Tsutsumi,Japan,Senior III,Kenjiro_Tsutsumi-ea5a487b-b10e-43f9-a938-a48a004bbb00
Kazuhiro Ishigaki,Anri Nakamura,Japan,Junior II,Kazuhiro_Ishigaki-14dd6f7c-0b45-4d84-a0d2-a48b00b7d98f
